,input_testData,MR_Transformed,output_testInput,output_MR,MR_checker
21958,"[9, 5, -19, -11, 14, 8, -11, 12, -8, 15, 4, -1]","[-11, -19, 9, -1, 14, -8, 8, 15, 5, 12, -11, 4]",-42,-126,Violated
21959,"[-20, 8, -17, -11, 2]","[-17, 2, 8, -20, -11]",31,93,Violated
21960,"[16, 18, -5, 13, 8, -19, -8, -4, -4, -18, -10, -18]","[-18, -18, 8, -8, -4, -4, 18, -5, 13, -19, -10, 16]",12,36,Not-violated
21961,"[17, 12, -18]","[-18, 12, 17]",-27,-81,Not-violated
21962,"[6, 0, -13, -8, -9, 0, 2, 15]","[0, 2, 0, -13, 15, -8, 6, -9]",34,102,Not-violated
21963,"[16, -7, -17, 19, 2, -9, -18]","[-7, -18, -17, -9, 2, 19, 16]",-16,-48,Violated
21964,"[-17, -20, -7, 17, -2, -2, 18, 16, -8, -14, -9, -13]","[16, -2, -8, -7, 17, -9, 18, -20, -17, -13, -14, -2]",-6,-18,Violated
21965,"[-12, -7, 1, -14, 11]","[1, 11, -12, -14, -7]",5,15,Violated
21966,"[-16, -13, 14, -2, 3, 1]","[1, -2, -13, -16, 3, 14]",2,6,Violated
21967,"[-14, -4, 15, 3, 13, -2, 17, 4, -20, -12]","[4, -4, 15, -2, -14, 3, 13, -20, -12, 17]",24,72,Not-violated
21968,"[12, -8, 2, -9, 19, -9, 12, 0, -2, -13, -15]","[-15, 0, -2, -9, 19, 2, -8, -13, 12, -9, 12]",-43,-129,Violated
21969,"[12, 2, -15, 7, -19, -3, 13, -17, 7]","[-15, 13, -17, 12, 2, 7, -3, -19, 7]",-12,-36,Violated
21970,"[1, 16, 5, -2, -15, -10, 15, -2, -16, -14, -6]","[-14, 16, -2, -2, -6, 1, -15, -10, 5, 15, -16]",30,90,Not-violated
21971,"[3, 10, 13, 5, -1]","[3, 13, 10, 5, -1]",2,6,Not-violated
21972,"[-2, 7, 0, -15, -17, -10]","[-15, 0, -2, 7, -17, -10]",-9,-27,Violated
21973,"[-2, -3, 19, 3]","[-2, -3, 19, 3]",34,102,Violated
21974,"[1, 0, 2, -14, 13, -16, 9, -8, -14, 5, -11]","[9, -14, -11, -8, 2, 13, -16, 5, 0, -14, 1]",9,27,Not-violated
21975,"[-7, 9, 18, 15, -9, 1, -17]","[18, -9, 15, 1, -7, 9, -17]",-36,-108,Violated
21976,"[19, -4, -9, -12, -5, 17, -20, 13, 14, 12, 10, -20, 17]","[-9, -12, -4, 17, 10, -20, -5, 19, 17, 14, 12, -20, 13]",35,105,Not-violated
21977,"[9, 13, -5, -16, 6, 6, -2, -19, 7, -12, 13, -3, -15, -9]","[-3, -12, 7, 6, 13, -5, 13, -15, -16, -9, 9, 6, -2, -19]",5,15,Not-violated
21978,"[12, -16, 11, -11, 9, -15, -17, 2, 19, -1, -20]","[-11, 9, 12, -20, 11, -1, 2, -15, -16, -17, 19]",9,27,Violated
21979,"[12, -5, -12, -5, -13, 1, -9, 0, 9, -2, 5, -10]","[-13, -12, 9, 1, 0, -5, -9, -10, -2, 5, -5, 12]",-9,-27,Not-violated
21980,"[1, 18, 3, -4, -1, -17, -12, 13, -4]","[-12, -17, -4, 1, 3, -1, 13, -4, 18]",25,75,Not-violated
21981,"[15, 4, 8, -14, -7, -16, 18, 17, -10]","[8, 4, 15, -10, 18, 17, -14, -7, -16]",-16,-48,Violated
21982,"[-3, 7, 14, 0, -10, 12, -17, -20, -17, 7, 10]","[12, -10, 7, -17, 10, -3, -17, 0, 7, 14, -20]",-52,-156,Violated
21983,"[14, 10, -2, -3, -8]","[-3, -2, 14, -8, 10]",-1,-3,Not-violated
21984,"[0, -17, 5, 1, 2, -4, -7, -1, -19, 4, -1]","[4, 2, 5, -1, -19, -7, -1, 1, 0, -4, -17]",-6,-18,Not-violated
21985,"[19, -20, -9, -17, 14, -5, 14, -2, 6]","[-2, 14, 14, 6, -9, 19, -5, -17, -20]",24,72,Not-violated
21986,"[1, 2, -16, -7, 15, -4, 18, 12, 10]","[1, 18, 10, -7, -16, 12, 2, 15, -4]",45,135,Not-violated
21987,"[-5, -17, 5]","[-5, 5, -17]",-11,-33,Violated
21988,"[19, -9, 15, 5, -8, -7, -3, 3, 19, -15, 15, 9]","[5, 15, 15, -8, -3, -15, -9, -7, 3, 9, 19, 19]",-34,-102,Violated
21989,"[-1, -10, -9, 2, -6, 8, 6, -7, 3]","[-9, 2, 8, 3, 6, -1, -7, -6, -10]",-91,-273,Violated
21990,"[-11, 16, 2, 10, 18, 19, -5, 16, 19, -17, 0, -6]","[19, -6, -17, 2, 16, -5, 16, -11, 10, 18, 0, 19]",-3,-9,Not-violated
21991,"[-15, 12, 9, -15, 8, -7, -7, 19, -7, -12, -12, 14]","[-12, -7, 12, -15, 14, -12, -7, 9, 8, -7, 19, -15]",-4,-12,Not-violated
21992,"[5, 9, -7, -16, 12, 18, 13, 18, -3, -5, 12, -1, -15]","[18, -7, 18, 12, 5, 9, -5, -3, 13, -15, 12, -1, -16]",-26,-78,Violated
21993,"[-14, 18, -16]","[18, -14, -16]",19,57,Not-violated
21994,"[-1, 14, 4, -18, 11, -12, 16, -16]","[4, -12, -18, 11, 14, 16, -16, -1]",31,93,Not-violated
21995,"[-9, -8, 3]","[3, -9, -8]",22,66,Not-violated
21996,"[12, 19, 0]","[0, 12, 19]",-18,-54,Violated
21997,"[17, -18, -17, -15, 3, -15, 4, -3, 7]","[-17, 4, 17, -3, -15, 7, -15, 3, -18]",16,48,Violated
21998,"[-3, -6, -20, -10, 18, -10, 13, -3, -4]","[13, -6, -4, 18, -20, -10, -3, -3, -10]",-13,-39,Violated
21999,"[-2, -15, -17, -2, -10, 16]","[-10, 16, -2, -2, -17, -15]",-17,-51,Not-violated
22000,"[9, 1, -16]","[1, 9, -16]",-25,-75,Violated
22001,"[-8, 0, -15, 15, -1, 19, -6, -16, -7, -17]","[-17, 15, 0, -15, -8, -16, -1, -7, 19, -6]",45,135,Not-violated
22002,"[-7, -16, 6]","[-7, -16, 6]",7,21,Violated
22003,"[-1, 10, -18, 4, 11, -20, -16, 0, 13, -13, 10]","[11, -18, 4, 13, -1, -16, 10, -13, 10, -20, 0]",-10,-30,Violated
22004,"[-11, 5, 18, 1, 4, 14, 2, 10, -14, -16, -17]","[-14, -11, 18, 10, 2, -16, 4, 14, 5, 1, -17]",-7,-21,Violated
22005,"[7, 17, -11, 6, -10, 13, 8, 19, 15, 7, -14, -16]","[19, -10, 7, 15, -11, -16, 6, 7, 17, 13, 8, -14]",17,51,Violated
22006,"[-13, -10, -7, -10, -16, -19, 0, 3, -3, 7, -10]","[-10, -13, -10, 7, 0, 3, -3, -7, -16, -10, -19]",7,21,Not-violated
22007,"[-11, -5, 1, 17, -19, -4, -14, 5, -16, -5, 2]","[-4, -5, -5, 17, -14, 5, 2, -11, 1, -19, -16]",-47,-141,Violated
22008,"[6, 13, 3, 1, -5, -17, -15, -10, 15]","[6, -17, 1, -5, -15, 15, 3, -10, 13]",-49,-147,Violated
22009,"[2, 10, 11, -9, 3, 11, 1, -12, -3, 5, 10]","[2, -9, 10, 11, 1, 3, -3, 5, 11, 10, -12]",-17,-51,Violated
22010,"[5, 7, -7, -8, -5, -5, 18, 18, -17]","[18, -7, 7, -17, -5, 18, 5, -8, -5]",9,27,Not-violated
22011,"[18, 5, 19, 3, -5, -10, 11, 13, 8, -5, -16, 11, -12]","[-16, 19, 11, -12, 3, 8, -10, 18, -5, 11, -5, 13, 5]",23,69,Not-violated
22012,"[4, -15, -19, 4, 1, -11, 7, 5, -17, 6, 5, -10, -18, 15]","[15, -19, 7, -18, 4, -17, 1, -11, 5, 5, -10, -15, 6, 4]",3,9,Not-violated
22013,"[-2, -5, -8, 12, 3, 18, 8, -11, -16, -20, -20, 9, 4, 0]","[4, 12, -11, -20, -5, 9, 18, -16, -8, 8, -20, 0, 3, -2]",-20,-60,Violated
22014,"[4, 0, -11, 10, 17, 12, -15, -20, 14, 8, 14, 19, -20, 18]","[0, 14, 17, -15, 10, -11, -20, 18, 14, -20, 4, 8, 12, 19]",39,117,Not-violated
22015,"[1, 19, 0, 11, 7, -13, -8, -18]","[7, -8, 0, -18, 11, 1, -13, 19]",9,27,Violated
22016,"[8, 9, 9, 2, 14, 6, 18]","[9, 2, 18, 6, 14, 9, 8]",3,9,Violated
22017,"[8, -19, 6, -15, 10]","[-19, -15, 6, 10, 8]",37,111,Not-violated
22018,"[4, 2, 16, 9, -3, -5, -12, -19, -18]","[-18, 2, -5, -19, -3, 16, 9, -12, 4]",-15,-45,Not-violated
22019,"[-1, -14, 10, 2, 13, 0, 9, 5, 18, 18, -8, 2]","[0, 2, 2, -14, 18, 13, 10, 18, 9, -1, 5, -8]",37,111,Not-violated
22020,"[-12, -18, 18, -5, -3, -15, -5, -6, 1]","[-15, -6, -12, 1, -5, -18, -5, -3, 18]",-14,-42,Violated
22021,"[-17, -14, 1, -10, 13, 12]","[12, -17, 13, 1, -14, -10]",-8,-24,Not-violated
22022,"[18, 16, 16, 12, 11, -10, 5, 16, 19, -11, -3]","[-10, 12, 18, 11, -11, 19, -3, 16, 5, 16, 16]",33,99,Not-violated
22023,"[-2, 3, 12, 4, -18, 5, 0, -10]","[12, -10, 3, 4, -2, 5, -18, 0]",55,165,Not-violated
22024,"[-18, -8, 15, 19, 15, -3, 3]","[15, -3, -8, -18, 3, 15, 19]",-17,-51,Not-violated
22025,"[-5, 17, 14, 2, 17, -19, 1, 17, 9]","[17, 14, 17, -19, 9, -5, 2, 17, 1]",-48,-144,Violated
22026,"[-8, -7, -20, -16, 0, -17, 11, -17, 19]","[0, -17, 19, -20, -16, -7, 11, -8, -17]",-10,-30,Violated
22027,"[-18, 1, -14, -7, -7, -1]","[-1, -7, 1, -7, -14, -18]",12,36,Not-violated
22028,"[-1, 1, -18, 2]","[-1, 2, -18, 1]",-47,-141,Not-violated
22029,"[-12, 3, 18, 7]","[-12, 18, 3, 7]",25,75,Not-violated
22030,"[-8, 2, 19, 19, 17, 3]","[-8, 3, 17, 19, 2, 19]",11,33,Not-violated
22031,"[2, -4, -3, 14, 2, 10]","[-4, -3, 14, 10, 2, 2]",-53,-159,Not-violated
22032,"[-9, 2, -14, -8, -7, -13, -12, -3, -6]","[-8, -9, -3, -12, -14, -7, -13, 2, -6]",-6,-18,Violated
22033,"[-12, -15, -9, 13, -8]","[-8, -15, -12, 13, -9]",49,147,Not-violated
22034,"[9, -1, 10, 12, -16, 1, 8, -16, -10, 6, 14]","[14, 1, -10, 8, 9, -16, -1, 6, 12, 10, -16]",4,12,Violated
22035,"[7, 8, 6, 6, 13, -20, -4]","[8, 6, -4, -20, 7, 6, 13]",-3,-9,Violated
22036,"[-16, -1, -14, -3, -9, -14]","[-9, -14, -14, -3, -1, -16]",11,33,Not-violated
22037,"[7, -11, 8]","[8, 7, -11]",72,216,Violated
22038,"[-6, 19, 19, -12, 10, -4, 15, 8, -17, -6, 1, 18, 18]","[19, 10, -17, -4, 15, -6, 18, 19, -6, 1, 8, 18, -12]",-22,-66,Not-violated
22039,"[14, 8, 14, -20, -11, -17, -9, -7, 19]","[14, 14, -11, -20, -7, -9, 8, 19, -17]",-17,-51,Violated
22040,"[-15, 15, -4, -4, -12, 11, 16, -4, -17, -19, 15, 9]","[15, 11, 9, -4, 16, -4, -4, -19, -15, -12, 15, -17]",17,51,Not-violated
22041,"[-1, 14, 9, 1, 1, -20]","[14, 9, -20, 1, 1, -1]",-55,-165,Not-violated
22042,"[8, 3, 12, 19, 12, 19, -10, -18, 18, 14, -12, -7]","[-18, 19, 18, 14, -10, -12, 19, 3, 8, 12, 12, -7]",-2,-6,Violated
22043,"[12, -2, 3, -16, 9, -18, -15, -20, 8, 17, 6]","[-2, -18, 6, -20, -15, 8, -16, 17, 12, 9, 3]",19,57,Not-violated
22044,"[13, -15, -4, -8, -3, 19, 0, -4, 11, -6]","[13, -4, 0, -6, 19, -4, -8, 11, -15, -3]",5,15,Not-violated
22045,"[-17, -15, 19, -17, -5, -12, -3, -7, 12]","[-3, -17, -7, 19, -17, -15, -5, 12, -12]",-15,-45,Not-violated
22046,"[-1, -16, 10, 12, -3, -2, -11, 1]","[10, 1, 12, -2, -16, -11, -1, -3]",-22,-66,Violated
22047,"[1, 4, 17]","[17, 1, 4]",5,15,Not-violated
22048,"[-18, -18, -11, -2, 13, -1, -3, -8, -11]","[-1, -18, -11, -11, -18, 13, -8, -3, -2]",-58,-174,Violated
22049,"[-8, -2, 14, 18, -7, 15, 0, -18]","[-18, -2, 15, 14, 18, 0, -7, -8]",48,144,Not-violated
22050,"[-9, -13, -9, -2, 12, -20, -1, -5, 2, 2]","[12, -2, -1, -9, -13, 2, -5, -20, 2, -9]",-9,-27,Violated
22051,"[14, -14, -8, 5, -19, -10, 13, -14, -12, 10, -12]","[13, -19, -14, -12, 5, -12, -14, 10, -8, 14, -10]",-39,-117,Violated
22052,"[9, -15, 15, 5, 19, 17, 4, -20, 7, 5, 4]","[-15, 19, 5, 4, 17, 5, 15, -20, 7, 9, 4]",-57,-171,Not-violated
22053,"[-20, -17, 18, -15, 0]","[-17, 18, -15, -20, 0]",10,30,Not-violated
22054,"[2, 2, 2, 2, -3, -17, 19, 8, -15, -11, -13, 6]","[2, -17, -13, -11, 2, -3, -15, 8, 2, 2, 6, 19]",8,24,Not-violated
22055,"[-7, 15, 15, -15, 12]","[15, -7, 12, 15, -15]",-10,-30,Not-violated
22056,"[15, -20, 10, -17, 19]","[-20, 10, 15, -17, 19]",-80,-240,Violated
22057,"[10, 5, -15, 14, 16, -1, 12, 4, -1]","[10, 14, -1, 5, -1, 12, 4, -15, 16]",-20,-60,Violated
22058,"[19, -13, -5, -3, 5, -6, 10, -11, -5, 5, -16, 11, -12]","[-13, 10, -3, -12, 11, 19, -5, -11, -16, -5, -6, 5, 5]",57,171,Not-violated
22059,"[-5, 3, -19, -4, -15, 9, -5, 12, 16, -17, 12]","[9, 16, -19, -5, -5, -17, 3, 12, 12, -15, -4]",3,9,Not-violated
22060,"[-20, 8, -2, 3, -1, -19, 11, -20]","[-20, -2, 11, -20, -1, 8, -19, 3]",3,9,Not-violated
22061,"[9, -10, 7, -3, -12, 2, -6, -10, -3, 15, 2]","[7, 9, 2, -3, -10, -12, -3, -10, -6, 15, 2]",-28,-84,Violated
22062,"[-3, -6, -17, 13, 12, -7, 4, 8, -17, 4]","[8, 4, -3, 12, 13, 4, -17, -17, -7, -6]",30,90,Not-violated
22063,"[-18, 11, 13, 11, -4, 15, 0, -7]","[-7, 15, 13, 11, 0, 11, -4, -18]",-2,-6,Not-violated
22064,"[10, 13, -9]","[13, 10, -9]",-27,-81,Violated
22065,"[-10, 9, -12, 13, -1, -5, -20, 18]","[-12, 13, 18, -1, -5, 9, -10, -20]",12,36,Not-violated
22066,"[9, -15, 7, 10, -18, 6, 3, -14, -6, 7, 4, 6]","[-18, 9, 7, 6, 3, -15, 10, 4, -14, 6, -6, 7]",-30,-90,Violated
22067,"[3, -7, 5, 2, -15, 0, 18]","[0, -15, 5, 18, 2, -7, 3]",31,93,Not-violated
22068,"[0, -4, 17, -10, 12, -19, -8, -5, 11, -14, -17, -20]","[-4, -10, -19, -14, 12, -5, 11, -20, -8, 0, 17, -17]",-27,-81,Not-violated
22069,"[4, 14, 18, 2, -14, -6, -4, -19, 2, -4, -19]","[-14, 2, 14, -4, -6, 2, -19, -4, 4, -19, 18]",-32,-96,Violated
22070,"[1, -15, -18, 17, 14]","[14, 1, 17, -18, -15]",31,93,Violated
22071,"[-8, -16, -9, -5, -4, -20, -7, -7, 13, -11, -13]","[-8, -11, -5, -7, -20, -16, -7, -9, -4, -13, 13]",2,6,Not-violated
22072,"[0, -4, -13, -15, 19, -12]","[-4, -12, 0, -13, 19, -15]",37,111,Violated
22073,"[-4, 17, -4, 3, -11, 17, 13, 13, 11]","[13, 17, -11, 17, 11, 3, -4, -4, 13]",-3,-9,Not-violated
22074,"[-11, -20, -1, -20, 12, -12, 1]","[-20, 1, -20, -1, 12, -11, -12]",-34,-102,Violated
22075,"[13, -13, 16, 11, -7, -20, -18, -9, -1, -19, 8, 10]","[-20, -18, -9, 16, -1, 11, 8, 13, -19, 10, -7, -13]",5,15,Not-violated
22076,"[-6, 15, -16, -9, 7, -5, -2, -12, 11, -17, 7]","[-17, 7, 11, -12, -2, -16, -5, -6, 7, -9, 15]",23,69,Not-violated
22077,"[-8, 18, -1, 2, -2, 15, 10, -20, -6, -19, -3]","[15, 2, -6, -2, -20, 18, -19, 10, -3, -8, -1]",13,39,Not-violated
22078,"[-4, -4, -2, 5, 2, 12, 8, -18, 12, 15, 14]","[5, 8, -18, 14, -4, 12, 12, 2, 15, -4, -2]",-65,-195,Violated
22079,"[16, 17, -7, -3, -3, 1, 2, -17, 18, 13, 11]","[-7, -17, 17, 18, -3, 11, 1, -3, 2, 16, 13]",-22,-66,Violated
22080,"[-5, 19, -3, -6, 8, 16, -14, 10, 17, -7, 18, -9, -18]","[-7, -9, 17, -3, 10, -6, -5, 18, -14, 16, 19, 8, -18]",12,36,Violated
22081,"[-15, 17, -17, -19, 19, 5, 13, -20, 6]","[-17, 17, -19, 5, 19, -20, 6, -15, 13]",20,60,Not-violated
22082,"[-4, 9, 16, 10, 13]","[16, -4, 13, 9, 10]",18,54,Not-violated
22083,"[-8, -11, -10, -11, 3, -18, 3, -6, 11, 6, -18, 1]","[11, -11, 6, -10, -8, 1, 3, -11, -18, 3, -18, -6]",-41,-123,Violated
22084,"[-14, -4, -12, -3]","[-4, -12, -14, -3]",10,30,Not-violated
22085,"[19, 12, -4, -4, -10, -4, -8, 13, 2, 12, -20, 12]","[-4, -8, 13, -4, 12, -20, -4, -10, 19, 12, 12, 2]",15,45,Not-violated
22086,"[-4, -8, 7, 17, 6, -3, 9]","[6, -3, -8, 9, -4, 7, 17]",12,36,Violated
22087,"[16, -3, -19, 2, -3, -5, 9, -5, 15, 12]","[-3, -19, 16, 9, 2, -5, 15, -5, 12, -3]",-3,-9,Not-violated
22088,"[-17, 3, 1, -16, 15, 5, 1, 19, 8, -4]","[19, 1, 3, 5, 15, -16, -4, 1, -17, 8]",36,108,Not-violated
22089,"[17, -2, -6, -11, -10, 12, -7, 9]","[-7, -10, 9, -11, -6, 17, 12, -2]",4,12,Violated
22090,"[19, -6, -18, -20, -7, -9, 19, 1, -6, -1, 15, 18, 2]","[-6, -1, -9, 2, 15, 19, -6, 1, 18, -7, 19, -18, -20]",3,9,Violated
22091,"[17, 11, -15, 11, -10, -4, -10, 13, 17, -11, 6, -8, -1]","[11, 6, -4, -8, -11, -1, 11, -15, -10, 17, -10, 13, 17]",29,87,Violated
22092,"[9, 11, 3]","[11, 9, 3]",-27,-81,Not-violated
22093,"[8, 6, 8, 0, 9, -11, -3, -9]","[-9, 8, -11, -3, 0, 8, 9, 6]",-7,-21,Violated
22094,"[9, -7, 16, 8, 19, -17, 12]","[-7, 12, -17, 8, 19, 9, 16]",60,180,Violated
22095,"[12, 12, -19, -20, 7, -15, -10]","[12, 12, -15, 7, -20, -19, -10]",-19,-57,Violated
22096,"[15, -19, -9, 18, 0, 9, 16]","[-19, 9, 16, 18, 0, -9, 15]",9,27,Violated
22097,"[0, 0, -1, 6, 16, 4, 15, -1]","[-1, -1, 4, 0, 0, 16, 15, 6]",-5,-15,Violated
22098,"[16, 4, 11, 3, 19, 7]","[4, 16, 3, 7, 19, 11]",-16,-48,Violated
22099,"[-9, -1, 8, 19, -1, 9, -11, -4, -3, 10, -13, 17, 3]","[3, -1, 10, -4, -9, 8, -3, -11, 9, -13, -1, 17, 19]",48,144,Violated
22100,"[-2, -5, 2, -7, -6, -10]","[-6, -2, 2, -10, -7, -5]",37,111,Violated
22101,"[-9, -3, 16]","[-3, -9, 16]",-62,-186,Violated
22102,"[-7, -2, -8, -10, -11, -19, 16, 7, 19, 17, -1, -19, 1, 1]","[-11, -2, -7, -10, 7, -1, 1, -19, 19, 17, -8, 1, -19, 16]",31,93,Not-violated
22103,"[6, -19, 7, -17]","[-19, 7, 6, -17]",-10,-30,Violated
22104,"[-20, 8, 9, -12, -3, 16, -15, 13]","[13, 8, 9, 16, -15, -3, -12, -20]",-28,-84,Violated
22105,"[-18, -1, -13, 14, 4]","[-18, -1, 14, 4, -13]",-11,-33,Violated
22106,"[19, 2, -6, -8, -12, 3, 14, 2, 0, 12]","[-8, 19, 2, 3, -6, 2, 12, 14, 0, -12]",9,27,Violated
22107,"[4, 12, 3]","[4, 3, 12]",8,24,Violated
22108,"[-8, 8, 12, 9, -11, -19, -5, -2, -12, -10, -11, 14]","[14, -10, -11, 8, -12, -19, 12, -11, -8, 9, -5, -2]",8,24,Not-violated
22109,"[9, 0, 7, -4, 7, -16, 11, 1, 6]","[11, 0, -4, -16, 7, 6, 9, 7, 1]",-54,-162,Not-violated
22110,"[-17, -18, 1, -12, -4, 13, 5, -12]","[5, 13, 1, -17, -12, -18, -12, -4]",31,93,Not-violated
22111,"[19, -19, 17, -10, -17, 15]","[19, -10, -17, 15, -19, 17]",-16,-48,Violated
22112,"[6, 10, -9, 15, 16, 8, -5, -1, -9]","[15, -9, -1, -5, 6, 10, -9, 8, 16]",13,39,Violated
22113,"[9, 7, 16, -17]","[16, -17, 9, 7]",16,48,Not-violated
22114,"[5, 13, 9, 2, -10]","[5, 2, -10, 13, 9]",18,54,Violated
22115,"[-2, -2, -5, 19]","[-2, -2, 19, -5]",1,3,Not-violated
22116,"[0, 16, -11, 16, -14, -1, -2, 12, -11, -15]","[-15, -11, -2, -11, 12, 16, 0, -14, -1, 16]",-17,-51,Not-violated
22117,"[-18, 6, 2, -14, -9, 4, 16]","[4, -9, 16, -14, -18, 6, 2]",21,63,Not-violated
22118,"[-13, -16, 4, -20, 8, -5, -18, -2, 8, 12, 8]","[8, -20, 12, -13, -5, -16, -18, 8, -2, 8, 4]",7,21,Not-violated
22119,"[-20, 17, 10, 2, -17, 1, 17, -20, 2, 2]","[17, -17, 2, 2, 2, 10, 1, -20, -20, 17]",-5,-15,Violated
22120,"[-16, -19, -18, 9, 0]","[0, -19, -18, 9, -16]",-20,-60,Violated
22121,"[-4, 9, -4, 15, -18]","[9, -4, -18, 15, -4]",18,54,Not-violated
22122,"[5, 5, -12, -17, -19]","[5, -17, -12, 5, -19]",1,3,Violated
22123,"[-13, 17, 1, -20, -11, 0, 11, -9, 2, 4, 15, 16, -19, 3]","[-20, 2, 15, 11, 4, 16, -11, 0, 3, -13, 1, 17, -9, -19]",4,12,Not-violated
22124,"[-12, -12, 12]","[-12, 12, -12]",-58,-174,Violated
22125,"[3, 13, -6, -8]","[13, 3, -6, -8]",-77,-231,Not-violated
22126,"[0, 17, 12, 1, 1]","[0, 12, 1, 17, 1]",-49,-147,Not-violated
22127,"[14, 4, 16, -2, 12, 14, -3, 11]","[-2, 16, 4, 11, -3, 12, 14, 14]",23,69,Not-violated
22128,"[8, 1, -15, -20, -5, 12, -16, -20, -14, 0, -7, 1]","[-20, -14, -16, 1, 1, -15, 0, -20, 8, -7, 12, -5]",-4,-12,Not-violated
22129,"[12, 12, 12, 6, -7, -3, 18]","[6, 18, -7, -3, 12, 12, 12]",17,51,Violated
22130,"[-14, -10, -13, 6]","[-13, -14, -10, 6]",-26,-78,Violated
22131,"[-14, -6, -14]","[-14, -14, -6]",-62,-186,Violated
22132,"[7, -15, -18, 15, -1, 1, 3, -3]","[3, 7, -18, -15, -3, 1, 15, -1]",37,111,Not-violated
22133,"[-5, 1, 4, 14, -17, -13, 4, -17, -4, -18, -5]","[-18, -17, -13, -17, -4, 14, -5, -5, 4, 1, 4]",-17,-51,Violated
22134,"[-5, 10, -8, 7, 4, -8, 16, -15]","[4, -15, -8, 16, 10, -8, 7, -5]",32,96,Not-violated
22135,"[-11, 11, 0, 1, 0, 14, -5, 6, 11, -4, -2]","[11, 11, -2, 6, 1, 14, -5, 0, -4, -11, 0]",-27,-81,Not-violated
22136,"[-7, -15, -9, 19, -20, -8, 4, -19, -9, -20]","[-20, -9, -15, 19, -8, -7, -20, -19, -9, 4]",1,3,Violated
22137,"[-3, -4, 5, -5, 1, -19, 9, -4, 3, -10, 12, 2]","[-10, 3, 2, 5, -4, 1, 9, -19, 12, -3, -5, -4]",82,246,Not-violated
22138,"[15, 4, -9, 13]","[13, -9, 15, 4]",-19,-57,Violated
22139,"[-7, -9, 8, -18, -15, -18, 9, -18, -10, 6]","[-15, -9, 6, -7, -10, -18, -18, 9, 8, -18]",-49,-147,Not-violated
22140,"[-6, -10, -12, 5, 1, 9, -15, -2, -8, -16, 13, 13]","[-12, 13, -6, 13, -8, 9, 5, -15, -10, -2, 1, -16]",-2,-6,Not-violated
22141,"[10, 14, 6]","[10, 14, 6]",-11,-33,Violated
22142,"[15, -10, -16, 0, -6, -3, 2, -5, 10, -1, -6, -9]","[-6, -6, -10, 15, -5, 0, -9, -3, -1, 2, -16, 10]",-40,-120,Violated
22143,"[-16, 1, -16, -19]","[-16, 1, -19, -16]",-14,-42,Violated
22144,"[12, 3, -10, 2, -11]","[12, 3, 2, -11, -10]",13,39,Violated
22145,"[-1, 8, -4, -8, -3, -19, -8, -14]","[-3, -19, -8, 8, -14, -1, -8, -4]",-48,-144,Not-violated
22146,"[18, 12, 9, -13, 16, 5, -19, -11]","[-11, 18, 5, 12, 9, 16, -19, -13]",30,90,Not-violated
22147,"[-20, 5, 11, -12]","[5, -20, 11, -12]",-33,-99,Not-violated
22148,"[9, -11, -13, 15, -17, -1, -10, -19, -14]","[-17, 9, 15, -10, -11, -14, -13, -19, -1]",2,6,Violated
22149,"[8, 3, -19, 14]","[3, 8, 14, -19]",11,33,Not-violated
22150,"[2, -20, 14, -11, -18, -2, 11, -16, -16, -16, -2, 16]","[-16, -16, -2, 2, -2, 11, -18, -11, 16, -20, -16, 14]",-90,-270,Violated
22151,"[8, -2, 19, -17, -2]","[-2, -17, 8, -2, 19]",-23,-69,Violated
22152,"[5, -16, 9, -14, 5, 5, -15, 0, -15, 13]","[5, 5, 13, 5, 0, -16, -14, -15, 9, -15]",63,189,Not-violated
22153,"[5, 9, 14, -4, -1]","[-1, 14, 5, 9, -4]",36,108,Not-violated
22154,"[-16, 10, -20, -7, -18, -14]","[-20, -16, 10, -18, -7, -14]",40,120,Not-violated
22155,"[-7, -7, 12, 11]","[-7, 12, -7, 11]",29,87,Not-violated
22156,"[-13, -6, 3, 1, -12, 7]","[1, -13, -12, 3, -6, 7]",74,222,Not-violated
22157,"[-2, -10, -12, -12, -3, 13, -7, -9, -10, -13, 18]","[-2, -12, -9, 18, -12, -10, -7, -10, -13, 13, -3]",16,48,Violated
22158,"[-19, -16, 13]","[-19, 13, -16]",-1,-3,Not-violated
22159,"[-9, -1, 2, 15, 10, 15, -19]","[15, -9, 15, -19, 2, 10, -1]",6,18,Violated
22160,"[12, 6, -3, 1, -11, -8]","[1, -8, 6, -3, -11, 12]",-4,-12,Not-violated
22161,"[-3, -19, 13, -3, 1, -2, 12]","[13, -2, -19, -3, -3, 12, 1]",-16,-48,Not-violated
22162,"[11, 5, 7, -4, 1, 12, 4, 1, -3, 16, 15, 9, 6, 6]","[5, 1, 6, 12, -3, 6, 15, 16, 7, 4, 1, 11, 9, -4]",18,54,Violated
22163,"[-20, -13, -19]","[-13, -20, -19]",-36,-108,Violated
22164,"[16, -19, 4, 13, -7, 17, 10, 15, 14]","[14, 15, 16, -7, 10, 13, -19, 17, 4]",-30,-90,Violated
22165,"[-7, 13, -18, -20, -5, 6, -17]","[-5, 6, -17, 13, -18, -7, -20]",-13,-39,Violated
22166,"[-10, -3, 16, -4, -15, 17, 3, 4, 6, 12, 18, 2]","[-4, -15, 6, 12, -10, 2, 17, 18, -3, 4, 3, 16]",28,84,Violated
