input_a,input_b,output
"[[0.026, 0.448], [0.947, 0.91]]","[[0.608, 0.386], [0.991, 0.485]]","[[0.634, 0.8340000000000001], [1.938, 1.395]]"
"[[0.72, 0.903], [0.65, 0.38]]","[[0.664, 0.704], [0.468, 0.782]]","[[1.384, 1.607], [1.118, 1.162]]"
"[[0.888, 0.099], [0.028, 0.474]]","[[0.661, 0.112], [0.986, 0.817]]","[[1.549, 0.21100000000000002], [1.014, 1.291]]"
"[[0.923, 0.737], [0.844, 0.106]]","[[0.795, 0.778], [0.638, 0.33]]","[[1.718, 1.5150000000000001], [1.482, 0.436]]"
"[[0.385, 0.752], [0.893, 0.648]]","[[0.033, 0.746], [0.914, 0.337]]","[[0.41800000000000004, 1.498], [1.807, 0.9850000000000001]]"
"[[0.92, 0.887], [0.298, 0.934]]","[[0.463, 0.741], [0.827, 0.445]]","[[1.383, 1.6280000000000001], [1.125, 1.379]]"
"[[0.481, 0.105], [0.641, 0.482]]","[[0.72, 0.145], [0.509, 0.175]]","[[1.201, 0.25], [1.15, 0.657]]"
"[[0.828, 0.362], [0.219, 0.742]]","[[0.531, 0.918], [0.938, 0.415]]","[[1.359, 1.28], [1.157, 1.157]]"
"[[0.181, 0.479], [0.255, 0.066]]","[[0.707, 0.494], [0.184, 0.874]]","[[0.8879999999999999, 0.973], [0.439, 0.94]]"
"[[0.925, 0.39], [0.892, 0.123]]","[[0.554, 0.85], [0.332, 0.364]]","[[1.479, 1.24], [1.224, 0.487]]"
"[[0.687, 0.87], [0.169, 0.677]]","[[0.433, 0.622], [0.362, 0.429]]","[[1.12, 1.492], [0.531, 1.106]]"
"[[0.506, 0.597], [0.831, 0.954]]","[[0.084, 0.259], [0.885, 0.808]]","[[0.59, 0.856], [1.716, 1.762]]"
"[[0.772, 0.606], [0.93, 0.282]]","[[0.584, 0.152], [0.563, 0.018]]","[[1.3559999999999999, 0.758], [1.4929999999999999, 0.3]]"
"[[0.986, 0.885], [0.449, 0.636]]","[[0.828, 0.948], [0.566, 0.471]]","[[1.814, 1.833], [1.015, 1.107]]"
"[[0.504, 0.821], [0.178, 0.115]]","[[0.488, 0.669], [0.641, 0.313]]","[[0.992, 1.49], [0.819, 0.428]]"
"[[0.011, 0.931], [0.237, 0.592]]","[[0.997, 0.457], [0.195, 0.263]]","[[1.008, 1.3880000000000001], [0.432, 0.855]]"
"[[0.279, 0.01], [0.461, 0.92]]","[[0.391, 0.705], [0.885, 0.958]]","[[0.67, 0.715], [1.346, 1.8780000000000001]]"
"[[0.615, 0.291], [0.382, 0.841]]","[[0.241, 0.62], [0.687, 0.113]]","[[0.856, 0.911], [1.069, 0.954]]"
"[[0.908, 0.861], [0.437, 0.401]]","[[0.459, 0.307], [0.823, 0.229]]","[[1.367, 1.168], [1.26, 0.63]]"
"[[0.184, 0.296], [0.589, 0.634]]","[[0.3, 0.03], [0.327, 0.127]]","[[0.484, 0.32599999999999996], [0.9159999999999999, 0.761]]"
"[[0.63, 0.783], [0.676, 0.746]]","[[0.494, 0.828], [0.252, 0.6]]","[[1.124, 1.611], [0.928, 1.346]]"
"[[0.811, 0.183], [0.394, 0.933]]","[[0.352, 0.127], [0.747, 0.235]]","[[1.163, 0.31], [1.141, 1.1680000000000001]]"
"[[0.898, 0.96], [0.399, 0.743]]","[[0.152, 0.569], [0.845, 0.512]]","[[1.05, 1.529], [1.244, 1.255]]"
"[[0.545, 0.799], [0.136, 0.271]]","[[0.073, 0.835], [0.384, 0.165]]","[[0.618, 1.634], [0.52, 0.43600000000000005]]"
"[[0.951, 0.4], [0.482, 0.515]]","[[0.416, 0.157], [0.339, 0.531]]","[[1.367, 0.557], [0.821, 1.046]]"
"[[0.168, 0.626], [0.373, 0.966]]","[[0.107, 0.303], [0.73, 0.116]]","[[0.275, 0.929], [1.103, 1.082]]"
"[[0.982, 0.457], [0.494, 0.416]]","[[0.097, 0.315], [0.128, 0.676]]","[[1.079, 0.772], [0.622, 1.092]]"
"[[0.47, 0.54], [0.394, 0.245]]","[[0.649, 0.754], [0.061, 0.838]]","[[1.119, 1.294], [0.455, 1.083]]"
"[[0.533, 0.722], [0.768, 0.716]]","[[0.764, 0.782], [0.991, 0.4]]","[[1.2970000000000002, 1.504], [1.759, 1.116]]"
"[[0.832, 0.562], [0.704, 0.762]]","[[0.903, 0.912], [0.975, 0.164]]","[[1.7349999999999999, 1.4740000000000002], [1.6789999999999998, 0.926]]"
"[[0.926, 0.411], [0.792, 0.65]]","[[0.219, 0.473], [0.255, 0.95]]","[[1.145, 0.8839999999999999], [1.0470000000000002, 1.6]]"
"[[0.115, 0.697], [0.489, 0.624]]","[[0.884, 0.98], [0.273, 0.482]]","[[0.999, 1.677], [0.762, 1.1059999999999999]]"
"[[0.607, 0.064], [0.126, 0.892]]","[[0.242, 0.596], [0.844, 0.041]]","[[0.849, 0.6599999999999999], [0.97, 0.933]]"
"[[0.164, 0.802], [0.747, 0.362]]","[[0.051, 0.193], [0.614, 0.523]]","[[0.215, 0.9950000000000001], [1.361, 0.885]]"
"[[0.691, 0.036], [0.783, 0.063]]","[[0.254, 0.006], [0.428, 0.609]]","[[0.945, 0.041999999999999996], [1.211, 0.6719999999999999]]"
"[[0.616, 0.766], [0.841, 0.541]]","[[0.022, 0.786], [0.758, 0.322]]","[[0.638, 1.552], [1.599, 0.863]]"
"[[0.088, 0.009], [0.407, 0.619]]","[[0.403, 0.944], [0.252, 0.07]]","[[0.491, 0.953], [0.659, 0.6890000000000001]]"
"[[0.596, 0.296], [0.157, 0.352]]","[[0.631, 0.591], [0.839, 0.812]]","[[1.2269999999999999, 0.887], [0.996, 1.1640000000000001]]"
"[[0.509, 0.433], [0.067, 0.64]]","[[0.765, 0.895], [0.24, 0.628]]","[[1.274, 1.328], [0.307, 1.268]]"
"[[0.477, 0.64], [0.593, 0.276]]","[[0.393, 0.877], [0.39, 0.429]]","[[0.87, 1.517], [0.983, 0.7050000000000001]]"
"[[0.656, 0.835], [0.213, 0.014]]","[[0.278, 0.825], [0.467, 0.57]]","[[0.934, 1.66], [0.68, 0.584]]"
"[[0.158, 0.449], [0.86, 0.828]]","[[0.035, 0.314], [0.452, 0.154]]","[[0.193, 0.763], [1.312, 0.982]]"
"[[0.051, 0.485], [0.412, 0.249]]","[[0.808, 0.649], [0.189, 0.26]]","[[0.8590000000000001, 1.134], [0.601, 0.509]]"
"[[0.138, 0.575], [0.51, 0.189]]","[[0.846, 0.154], [0.245, 0.208]]","[[0.984, 0.729], [0.755, 0.397]]"
"[[0.367, 0.03], [0.692, 0.023]]","[[0.975, 0.625], [0.439, 0.128]]","[[1.342, 0.655], [1.131, 0.151]]"
"[[0.738, 0.537], [0.845, 0.123]]","[[0.263, 0.232], [0.963, 0.911]]","[[1.001, 0.769], [1.8079999999999998, 1.034]]"
"[[0.694, 0.716], [0.731, 0.586]]","[[0.752, 0.984], [0.703, 0.173]]","[[1.446, 1.7], [1.434, 0.7589999999999999]]"
"[[0.575, 0.196], [0.12, 0.887]]","[[0.24, 0.937], [0.544, 0.765]]","[[0.815, 1.133], [0.664, 1.6520000000000001]]"
"[[0.662, 0.514], [0.333, 0.827]]","[[0.958, 0.762], [0.148, 0.047]]","[[1.62, 1.276], [0.481, 0.874]]"
"[[0.498, 0.202], [0.485, 0.522]]","[[0.715, 0.973], [0.236, 0.483]]","[[1.213, 1.175], [0.721, 1.005]]"
"[[0.382, 0.557], [0.879, 0.56]]","[[0.776, 0.574], [0.787, 0.603]]","[[1.158, 1.131], [1.666, 1.163]]"
"[[0.3, 0.838], [0.955, 0.23]]","[[0.68, 0.881], [0.128, 0.758]]","[[0.98, 1.7189999999999999], [1.083, 0.988]]"
"[[0.849, 0.776], [0.831, 0.011]]","[[0.138, 0.015], [0.057, 0.951]]","[[0.987, 0.791], [0.888, 0.962]]"
"[[0.257, 0.403], [0.337, 0.488]]","[[0.674, 0.755], [0.938, 0.886]]","[[0.931, 1.158], [1.275, 1.374]]"
"[[0.045, 0.426], [0.038, 0.187]]","[[0.551, 0.755], [0.666, 0.096]]","[[0.5960000000000001, 1.181], [0.7040000000000001, 0.28300000000000003]]"
"[[0.754, 0.089], [0.985, 0.629]]","[[0.581, 0.819], [0.113, 0.718]]","[[1.335, 0.9079999999999999], [1.098, 1.347]]"
"[[0.545, 0.295], [0.635, 0.997]]","[[0.525, 0.193], [0.938, 0.315]]","[[1.07, 0.488], [1.573, 1.312]]"
"[[0.749, 0.466], [0.571, 0.467]]","[[0.546, 0.02], [0.388, 0.621]]","[[1.295, 0.48600000000000004], [0.959, 1.088]]"
"[[0.193, 0.972], [0.866, 0.952]]","[[0.57, 0.523], [0.296, 0.256]]","[[0.7629999999999999, 1.495], [1.162, 1.208]]"
"[[0.285, 0.186], [0.113, 0.284]]","[[0.721, 0.825], [0.247, 0.609]]","[[1.006, 1.011], [0.36, 0.893]]"
"[[0.663, 0.073], [0.705, 0.616]]","[[0.214, 0.703], [0.197, 0.099]]","[[0.877, 0.7759999999999999], [0.9019999999999999, 0.715]]"
"[[0.735, 0.561], [0.021, 0.855]]","[[0.047, 0.941], [0.804, 0.555]]","[[0.782, 1.502], [0.8250000000000001, 1.4100000000000001]]"
"[[0.578, 0.354], [0.404, 0.741]]","[[0.246, 0.47], [0.195, 0.102]]","[[0.824, 0.824], [0.599, 0.843]]"
"[[0.969, 0.716], [0.585, 0.81]]","[[0.567, 0.327], [0.612, 0.416]]","[[1.536, 1.043], [1.197, 1.226]]"
"[[0.088, 0.84], [0.431, 0.663]]","[[0.021, 0.411], [0.747, 0.352]]","[[0.109, 1.251], [1.178, 1.0150000000000001]]"
"[[0.304, 0.744], [0.412, 0.323]]","[[0.773, 0.497], [0.123, 0.654]]","[[1.077, 1.241], [0.5349999999999999, 0.9770000000000001]]"
"[[0.441, 0.89], [0.403, 0.661]]","[[0.046, 0.896], [0.774, 0.699]]","[[0.487, 1.786], [1.177, 1.3599999999999999]]"
"[[0.852, 0.474], [0.829, 0.009]]","[[0.167, 0.564], [0.09, 0.973]]","[[1.019, 1.0379999999999998], [0.9189999999999999, 0.982]]"
"[[0.278, 0.921], [0.643, 0.891]]","[[0.229, 0.918], [0.68, 0.925]]","[[0.507, 1.839], [1.323, 1.816]]"
"[[0.175, 0.39], [0.477, 0.169]]","[[0.348, 0.942], [0.552, 0.397]]","[[0.5229999999999999, 1.3319999999999999], [1.029, 0.5660000000000001]]"
"[[0.136, 0.308], [0.549, 0.381]]","[[0.671, 0.088], [0.97, 0.023]]","[[0.807, 0.396], [1.5190000000000001, 0.404]]"
"[[0.474, 0.369], [0.88, 0.69]]","[[0.103, 0.112], [0.868, 0.584]]","[[0.577, 0.481], [1.748, 1.274]]"
"[[0.591, 0.626], [0.448, 0.288]]","[[0.965, 0.564], [0.184, 0.095]]","[[1.556, 1.19], [0.632, 0.383]]"
"[[0.835, 0.744], [0.623, 0.692]]","[[0.88, 0.091], [0.911, 0.827]]","[[1.7149999999999999, 0.835], [1.534, 1.519]]"
"[[0.977, 0.558], [0.7, 0.656]]","[[0.131, 0.504], [0.814, 0.893]]","[[1.108, 1.062], [1.5139999999999998, 1.549]]"
"[[0.213, 0.72], [0.688, 0.074]]","[[0.795, 0.707], [0.863, 0.128]]","[[1.008, 1.427], [1.551, 0.202]]"
"[[0.456, 0.908], [0.292, 0.588]]","[[0.553, 0.6], [0.462, 0.362]]","[[1.0090000000000001, 1.508], [0.754, 0.95]]"
"[[0.777, 0.399], [0.393, 0.621]]","[[0.755, 0.023], [0.66, 0.152]]","[[1.532, 0.42200000000000004], [1.053, 0.773]]"
"[[0.546, 0.896], [0.78, 0.514]]","[[0.713, 0.07], [0.289, 0.251]]","[[1.259, 0.966], [1.069, 0.765]]"
"[[0.643, 0.689], [0.854, 0.858]]","[[0.669, 0.666], [0.942, 0.247]]","[[1.312, 1.355], [1.7959999999999998, 1.105]]"
"[[0.608, 0.07], [0.203, 0.609]]","[[0.132, 0.421], [0.209, 0.38]]","[[0.74, 0.491], [0.41200000000000003, 0.989]]"
"[[0.328, 0.45], [0.766, 0.092]]","[[0.631, 0.837], [0.217, 0.911]]","[[0.9590000000000001, 1.287], [0.983, 1.0030000000000001]]"
"[[0.038, 0.215], [0.223, 0.408]]","[[0.001, 0.986], [0.507, 0.361]]","[[0.039, 1.201], [0.73, 0.7689999999999999]]"
"[[0.631, 0.96], [0.297, 0.951]]","[[0.953, 0.523], [0.522, 0.13]]","[[1.584, 1.483], [0.819, 1.081]]"
"[[0.695, 0.945], [0.077, 0.149]]","[[0.786, 0.018], [0.37, 0.711]]","[[1.4809999999999999, 0.963], [0.447, 0.86]]"
"[[0.48, 0.496], [0.55, 0.899]]","[[0.268, 0.199], [0.204, 0.556]]","[[0.748, 0.6950000000000001], [0.754, 1.455]]"
"[[0.971, 0.426], [0.706, 0.219]]","[[0.043, 0.358], [0.145, 0.354]]","[[1.014, 0.784], [0.851, 0.573]]"
"[[0.17, 0.332], [0.495, 0.195]]","[[0.531, 0.514], [0.942, 0.459]]","[[0.7010000000000001, 0.8460000000000001], [1.4369999999999998, 0.654]]"
"[[0.607, 0.795], [0.337, 0.133]]","[[0.473, 0.065], [0.65, 0.656]]","[[1.08, 0.8600000000000001], [0.9870000000000001, 0.789]]"
"[[0.233, 0.987], [0.639, 0.882]]","[[0.136, 0.209], [0.807, 0.373]]","[[0.369, 1.196], [1.4460000000000002, 1.255]]"
"[[0.491, 0.503], [0.577, 0.548]]","[[0.44, 0.925], [0.974, 0.114]]","[[0.931, 1.428], [1.551, 0.662]]"
"[[0.746, 0.366], [0.592, 0.291]]","[[0.638, 0.675], [0.627, 0.103]]","[[1.384, 1.041], [1.2189999999999999, 0.39399999999999996]]"
"[[0.011, 0.322], [0.022, 0.005]]","[[0.917, 0.489], [0.093, 0.796]]","[[0.928, 0.8109999999999999], [0.11499999999999999, 0.801]]"
"[[0.91, 0.303], [0.183, 0.722]]","[[0.366, 0.551], [0.283, 0.658]]","[[1.276, 0.8540000000000001], [0.46599999999999997, 1.38]]"
"[[0.17, 0.604], [0.01, 0.347]]","[[0.373, 0.622], [0.879, 0.854]]","[[0.543, 1.226], [0.889, 1.201]]"
"[[0.378, 0.099], [0.359, 0.012]]","[[0.244, 0.616], [0.614, 0.804]]","[[0.622, 0.715], [0.973, 0.8160000000000001]]"
"[[0.352, 0.357], [0.146, 0.487]]","[[0.019, 0.621], [0.793, 0.969]]","[[0.371, 0.978], [0.9390000000000001, 1.456]]"
"[[0.013, 0.152], [0.559, 0.347]]","[[0.374, 0.813], [0.062, 0.615]]","[[0.387, 0.965], [0.621, 0.962]]"
"[[0.749, 0.759], [0.914, 0.15]]","[[0.584, 0.384], [0.566, 0.076]]","[[1.333, 1.143], [1.48, 0.22599999999999998]]"
"[[0.384, 0.419], [0.379, 0.617]]","[[0.396, 0.528], [0.904, 0.798]]","[[0.78, 0.9470000000000001], [1.283, 1.415]]"
"[[0.579, 0.123], [0.39, 0.829]]","[[0.003, 0.758], [0.873, 0.705]]","[[0.582, 0.881], [1.263, 1.5339999999999998]]"
"[[0.126, 0.044], [0.121, 0.149]]","[[0.882, 0.211], [0.529, 0.671]]","[[1.008, 0.255], [0.65, 0.8200000000000001]]"
"[[0.13, 0.823], [0.346, 0.145]]","[[0.654, 0.03], [0.905, 0.945]]","[[0.784, 0.853], [1.251, 1.0899999999999999]]"
"[[0.48, 0.92], [0.454, 0.665]]","[[0.318, 0.601], [0.947, 0.06]]","[[0.798, 1.521], [1.401, 0.7250000000000001]]"
"[[0.118, 0.793], [0.626, 0.046]]","[[0.287, 0.541], [0.593, 0.064]]","[[0.40499999999999997, 1.334], [1.2189999999999999, 0.11]]"
"[[0.591, 0.653], [0.266, 0.812]]","[[0.899, 0.893], [0.405, 0.426]]","[[1.49, 1.546], [0.671, 1.238]]"
"[[0.233, 0.514], [0.152, 0.777]]","[[0.122, 0.571], [0.541, 0.587]]","[[0.355, 1.085], [0.6930000000000001, 1.3639999999999999]]"
"[[0.684, 0.383], [0.15, 0.745]]","[[0.441, 0.575], [0.36, 0.486]]","[[1.125, 0.958], [0.51, 1.2309999999999999]]"
"[[0.476, 0.946], [0.829, 0.19]]","[[0.103, 0.161], [0.035, 0.38]]","[[0.579, 1.107], [0.864, 0.5700000000000001]]"
"[[0.514, 0.867], [0.934, 0.521]]","[[0.899, 0.136], [0.468, 0.009]]","[[1.413, 1.0030000000000001], [1.4020000000000001, 0.53]]"
"[[0.07, 0.925], [0.467, 0.995]]","[[0.246, 0.779], [0.377, 0.682]]","[[0.316, 1.7040000000000002], [0.8440000000000001, 1.677]]"
"[[0.921, 0.051], [0.212, 0.553]]","[[0.924, 0.729], [0.73, 0.62]]","[[1.8450000000000002, 0.78], [0.942, 1.173]]"
"[[0.591, 0.978], [0.225, 0.103]]","[[0.56, 0.59], [0.01, 0.924]]","[[1.151, 1.568], [0.23500000000000001, 1.0270000000000001]]"
"[[0.337, 0.085], [0.004, 0.054]]","[[0.993, 0.589], [0.995, 0.354]]","[[1.33, 0.6739999999999999], [0.999, 0.408]]"
"[[0.498, 0.161], [0.824, 0.261]]","[[0.408, 0.018], [0.968, 0.073]]","[[0.9059999999999999, 0.179], [1.7919999999999998, 0.334]]"
"[[0.766, 0.379], [0.696, 0.966]]","[[0.272, 0.506], [0.222, 0.267]]","[[1.038, 0.885], [0.9179999999999999, 1.233]]"
"[[0.817, 0.553], [0.943, 0.287]]","[[0.118, 0.126], [0.96, 0.01]]","[[0.9349999999999999, 0.679], [1.903, 0.297]]"
"[[0.804, 0.214], [0.283, 0.078]]","[[0.88, 0.354], [0.63, 0.963]]","[[1.6840000000000002, 0.568], [0.913, 1.041]]"
"[[0.821, 0.68], [0.941, 0.528]]","[[0.161, 0.196], [0.123, 0.804]]","[[0.982, 0.8760000000000001], [1.064, 1.332]]"
"[[0.493, 0.949], [0.5, 0.829]]","[[0.81, 0.802], [0.083, 0.643]]","[[1.303, 1.751], [0.583, 1.472]]"
"[[0.333, 0.503], [0.596, 0.049]]","[[0.111, 0.55], [0.868, 0.744]]","[[0.444, 1.053], [1.464, 0.793]]"
"[[0.51, 0.383], [0.937, 0.661]]","[[0.288, 0.608], [0.07, 0.731]]","[[0.798, 0.991], [1.0070000000000001, 1.392]]"
"[[0.472, 0.782], [0.96, 0.494]]","[[0.142, 0.481], [0.102, 0.836]]","[[0.614, 1.263], [1.062, 1.33]]"
"[[0.669, 0.309], [0.175, 0.096]]","[[0.704, 0.808], [0.061, 0.274]]","[[1.373, 1.117], [0.236, 0.37]]"
"[[0.832, 0.902], [0.363, 0.168]]","[[0.766, 0.098], [0.821, 0.332]]","[[1.5979999999999999, 1.0], [1.184, 0.5]]"
"[[0.042, 0.015], [0.619, 0.819]]","[[0.419, 0.225], [0.927, 0.954]]","[[0.46099999999999997, 0.24], [1.546, 1.773]]"
"[[0.796, 0.966], [0.351, 0.334]]","[[0.375, 0.361], [0.713, 0.014]]","[[1.171, 1.327], [1.064, 0.34800000000000003]]"
"[[0.044, 0.463], [0.139, 0.521]]","[[0.637, 0.746], [0.139, 0.547]]","[[0.681, 1.209], [0.278, 1.068]]"
"[[0.996, 0.661], [0.568, 0.573]]","[[0.558, 0.331], [0.207, 0.711]]","[[1.554, 0.992], [0.7749999999999999, 1.2839999999999998]]"
"[[0.431, 0.489], [0.266, 0.629]]","[[0.799, 0.607], [0.598, 0.494]]","[[1.23, 1.096], [0.864, 1.123]]"
"[[0.155, 0.22], [0.289, 0.128]]","[[0.335, 0.336], [0.573, 0.438]]","[[0.49, 0.556], [0.8619999999999999, 0.5660000000000001]]"
"[[0.282, 0.374], [0.235, 0.069]]","[[0.478, 0.583], [0.685, 0.415]]","[[0.76, 0.957], [0.92, 0.484]]"
"[[0.317, 0.866], [0.137, 0.035]]","[[0.916, 0.506], [0.081, 0.422]]","[[1.233, 1.3719999999999999], [0.21800000000000003, 0.45699999999999996]]"
"[[0.684, 0.701], [0.355, 0.872]]","[[0.947, 0.048], [0.974, 0.696]]","[[1.631, 0.749], [1.329, 1.568]]"
"[[0.072, 0.811], [0.441, 0.253]]","[[0.053, 0.453], [0.374, 0.129]]","[[0.125, 1.264], [0.815, 0.382]]"
"[[0.459, 0.539], [0.018, 0.106]]","[[0.437, 0.908], [0.341, 0.329]]","[[0.896, 1.447], [0.35900000000000004, 0.435]]"
"[[0.93, 0.58], [0.321, 0.739]]","[[0.978, 0.802], [0.067, 0.904]]","[[1.908, 1.3820000000000001], [0.388, 1.643]]"
"[[0.625, 0.748], [0.276, 0.56]]","[[0.613, 0.931], [0.34, 0.1]]","[[1.238, 1.679], [0.6160000000000001, 0.66]]"
"[[0.123, 0.477], [0.895, 0.576]]","[[0.269, 0.679], [0.351, 0.001]]","[[0.392, 1.1560000000000001], [1.246, 0.577]]"
"[[0.246, 0.192], [0.399, 0.094]]","[[0.138, 0.375], [0.63, 0.714]]","[[0.384, 0.567], [1.029, 0.8079999999999999]]"
"[[0.839, 0.323], [0.971, 0.528]]","[[0.673, 0.239], [0.644, 0.472]]","[[1.512, 0.562], [1.615, 1.0]]"
"[[0.65, 0.343], [0.245, 0.703]]","[[0.875, 0.161], [0.278, 0.838]]","[[1.525, 0.504], [0.523, 1.541]]"
"[[0.03, 0.906], [0.1, 0.89]]","[[0.674, 0.491], [0.963, 0.695]]","[[0.7040000000000001, 1.397], [1.063, 1.585]]"
"[[0.227, 0.018], [0.026, 0.092]]","[[0.781, 0.178], [0.767, 0.233]]","[[1.008, 0.19599999999999998], [0.793, 0.325]]"
"[[0.123, 0.509], [0.248, 0.038]]","[[0.528, 0.539], [0.327, 0.869]]","[[0.651, 1.048], [0.575, 0.907]]"
"[[0.338, 0.224], [0.503, 0.442]]","[[0.571, 0.213], [0.14, 0.252]]","[[0.909, 0.437], [0.643, 0.694]]"
"[[0.946, 0.517], [0.22, 0.963]]","[[0.653, 0.935], [0.641, 0.282]]","[[1.599, 1.452], [0.861, 1.2449999999999999]]"
"[[0.534, 0.979], [0.589, 0.871]]","[[0.086, 0.372], [0.041, 0.659]]","[[0.62, 1.351], [0.63, 1.53]]"
"[[0.22, 0.991], [0.158, 0.507]]","[[0.432, 0.406], [0.644, 0.811]]","[[0.652, 1.397], [0.802, 1.318]]"
"[[0.063, 0.977], [0.976, 0.537]]","[[0.753, 0.512], [0.903, 0.583]]","[[0.8160000000000001, 1.4889999999999999], [1.879, 1.12]]"
"[[0.663, 0.67], [0.603, 0.369]]","[[0.922, 0.726], [0.901, 0.442]]","[[1.585, 1.396], [1.504, 0.8109999999999999]]"
"[[0.485, 0.53], [0.712, 0.159]]","[[0.173, 0.957], [0.255, 0.528]]","[[0.6579999999999999, 1.487], [0.967, 0.687]]"
"[[0.799, 0.126], [0.709, 0.841]]","[[0.604, 0.999], [0.82, 0.65]]","[[1.403, 1.125], [1.529, 1.491]]"
"[[0.882, 0.284], [0.117, 0.161]]","[[0.959, 0.983], [0.278, 0.79]]","[[1.841, 1.267], [0.395, 0.9510000000000001]]"
"[[0.462, 0.478], [0.939, 0.292]]","[[0.823, 0.901], [0.737, 0.156]]","[[1.285, 1.379], [1.676, 0.44799999999999995]]"
"[[0.466, 0.421], [0.894, 0.616]]","[[0.461, 0.28], [0.66, 0.94]]","[[0.927, 0.7010000000000001], [1.554, 1.556]]"
"[[0.994, 0.051], [0.929, 0.34]]","[[0.116, 0.14], [0.206, 0.01]]","[[1.11, 0.191], [1.135, 0.35000000000000003]]"
"[[0.892, 0.008], [0.133, 0.238]]","[[0.78, 0.166], [0.015, 0.544]]","[[1.6720000000000002, 0.17400000000000002], [0.14800000000000002, 0.782]]"
"[[0.36, 0.663], [0.937, 0.307]]","[[0.533, 0.649], [0.664, 0.251]]","[[0.893, 1.312], [1.601, 0.558]]"
"[[0.31, 0.737], [0.861, 0.239]]","[[0.018, 0.308], [0.963, 0.081]]","[[0.328, 1.045], [1.8239999999999998, 0.32]]"
"[[0.639, 0.097], [0.923, 0.241]]","[[0.087, 0.524], [0.291, 0.606]]","[[0.726, 0.621], [1.214, 0.847]]"
"[[0.514, 0.102], [0.171, 0.921]]","[[0.235, 0.437], [0.243, 0.882]]","[[0.749, 0.539], [0.41400000000000003, 1.803]]"
"[[0.174, 0.671], [0.983, 0.919]]","[[0.202, 0.227], [0.684, 0.609]]","[[0.376, 0.898], [1.667, 1.528]]"
"[[0.865, 0.576], [0.134, 0.174]]","[[0.231, 0.862], [0.945, 0.93]]","[[1.096, 1.438], [1.079, 1.104]]"
"[[0.944, 0.752], [0.411, 0.494]]","[[0.639, 0.627], [0.981, 0.557]]","[[1.583, 1.379], [1.392, 1.0510000000000002]]"
"[[0.586, 0.561], [0.198, 0.397]]","[[0.583, 0.297], [0.908, 0.261]]","[[1.169, 0.8580000000000001], [1.106, 0.658]]"
"[[0.326, 0.003], [0.744, 0.132]]","[[0.653, 0.943], [0.767, 0.485]]","[[0.9790000000000001, 0.946], [1.5110000000000001, 0.617]]"
"[[0.33, 0.245], [0.25, 0.395]]","[[0.063, 0.395], [0.175, 0.326]]","[[0.393, 0.64], [0.425, 0.7210000000000001]]"
"[[0.484, 0.863], [0.42, 0.583]]","[[0.871, 0.873], [0.206, 0.809]]","[[1.355, 1.736], [0.626, 1.392]]"
"[[0.665, 0.213], [0.597, 0.934]]","[[0.059, 0.71], [0.149, 0.715]]","[[0.724, 0.9229999999999999], [0.746, 1.649]]"
"[[0.089, 0.584], [0.284, 0.232]]","[[0.246, 0.859], [0.966, 0.982]]","[[0.33499999999999996, 1.443], [1.25, 1.214]]"
"[[0.722, 0.825], [0.338, 0.13]]","[[0.432, 0.446], [0.893, 0.85]]","[[1.154, 1.271], [1.231, 0.98]]"
"[[0.166, 0.771], [0.778, 0.918]]","[[0.569, 0.626], [0.728, 0.95]]","[[0.735, 1.397], [1.506, 1.8679999999999999]]"
"[[0.659, 0.198], [0.371, 0.307]]","[[0.08, 0.273], [0.966, 0.861]]","[[0.739, 0.47100000000000003], [1.337, 1.168]]"
"[[0.986, 0.051], [0.565, 0.746]]","[[0.735, 0.818], [0.387, 0.992]]","[[1.721, 0.869], [0.952, 1.738]]"
"[[0.408, 0.291], [0.466, 0.245]]","[[0.652, 0.377], [0.108, 0.016]]","[[1.06, 0.6679999999999999], [0.5740000000000001, 0.261]]"
"[[0.325, 0.856], [0.561, 0.079]]","[[0.224, 0.596], [0.915, 0.496]]","[[0.549, 1.452], [1.476, 0.575]]"
"[[0.627, 0.962], [0.803, 0.296]]","[[0.622, 0.897], [0.247, 0.754]]","[[1.249, 1.859], [1.05, 1.05]]"
"[[0.453, 0.997], [0.228, 0.615]]","[[0.18, 0.375], [0.378, 0.019]]","[[0.633, 1.3719999999999999], [0.606, 0.634]]"
"[[0.253, 0.345], [0.323, 0.045]]","[[0.322, 0.742], [0.6, 0.973]]","[[0.575, 1.087], [0.923, 1.018]]"
"[[0.936, 0.337], [0.673, 0.085]]","[[0.093, 0.061], [0.307, 0.262]]","[[1.0290000000000001, 0.398], [0.98, 0.34700000000000003]]"
"[[0.476, 0.336], [0.146, 0.316]]","[[0.646, 0.775], [0.389, 0.377]]","[[1.1219999999999999, 1.111], [0.535, 0.6930000000000001]]"
"[[0.133, 0.146], [0.619, 0.512]]","[[0.63, 0.013], [0.125, 0.803]]","[[0.763, 0.159], [0.744, 1.315]]"
"[[0.096, 0.603], [0.91, 0.549]]","[[0.394, 0.1], [0.934, 0.772]]","[[0.49, 0.703], [1.844, 1.3210000000000002]]"
"[[0.216, 0.044], [0.376, 0.648]]","[[0.861, 0.344], [0.094, 0.068]]","[[1.077, 0.38799999999999996], [0.47, 0.716]]"
"[[0.631, 0.467], [0.049, 0.164]]","[[0.036, 0.311], [0.856, 0.061]]","[[0.667, 0.778], [0.905, 0.225]]"
